passageId,gradeLevel,title,topicDomain,ruleId,result,severity,clusterId,score,evidence,notes
pssa_psg_g5_the_map_in_the_station,5,The Map in the Station 5,history/social studies,PSSA_PASSAGE_TEMPLATE_SKELETON,FAIL,BLOCKER,skeleton-i6ukhw,5,the <x> <topic> <topic> <topic> with a question that <topic> <topic> how could <topic> <topic> an <x> <topic> <x> their teacher asked them to avoid guesses and collect details that,Masked skeleton shared by 5 passages.
pssa_psg_g5_a_cooler_lunch_line,5,A Cooler Lunch Line 5,school/community,PSSA_PASSAGE_TEMPLATE_SKELETON,FAIL,BLOCKER,skeleton-9g7oh7,4,the <x> <topic> <topic> <topic> with a question that <topic> <topic> how could <topic> <topic> a <topic> <topic> <topic> their teacher asked them to avoid guesses and collect detai,Masked skeleton shared by 4 passages.
pssa_psg_g5_the_mural_plan,5,The Mural Plan 5,arts/culture,PSSA_PASSAGE_TEMPLATE_SKELETON,FAIL,BLOCKER,skeleton-slnbp4,5,the <x> <topic> <topic> <topic> with a question that <topic> <topic> how could a <topic> <topic> a <topic> <topic> from <topic> <topic> their teacher asked them to avoid guesses an,Masked skeleton shared by 5 passages.
pssa_psg_g5_the_cart_that_would_not_turn,5,The Cart That Would Not Turn 5,everyday problem-solving,PSSA_PASSAGE_TEMPLATE_SKELETON,FAIL,BLOCKER,skeleton-zf3s6n,4,the <x> <topic> <topic> <topic> with a question that <topic> <topic> how could a <topic> <topic> a <topic> <topic> their teacher asked them to avoid guesses and collect details tha,Masked skeleton shared by 4 passages.
pssa_psg_g6_tranche1_heat_map,6,Mapping the Hot Spots,school/community,PSSA_PASSAGE_TEMPLATE_SKELETON,PASS,INFO,skeleton-t0gltn,1,on the <topic> <topic> <topic> in <x> and a <x> paper <x> the <x> the <x> had <x> that <x> be <x> than <x> but they <x> to <x> the same <x> could <x> on a <x> their question was si,No reused masked skeleton found.
pssa_psg_g6_tranche1_seed_library,6,The Seed Library,science/nature,PSSA_PASSAGE_TEMPLATE_SKELETON,PASS,INFO,skeleton-x76nhu,1,a <topic> <topic> <x> the <topic> of the <topic> <topic> <topic> <topic> until <topic> <topic> its <topic> <topic> instead of <x> the <topic> <x> with <x> and <x> with a <topic> <x,No reused masked skeleton found.
pssa_psg_g6_tranche1_long_way,6,The Long Way Around,literary fiction,PSSA_PASSAGE_TEMPLATE_SKELETON,PASS,INFO,skeleton-nawfgw,1,<topic> <x> the <topic> <topic> <topic> at the <topic> and <topic> the <x> was <x> which <x> would have to <x> the <topic> <x> <topic> the <x> to <x> the community <x> in <x> and <,No reused masked skeleton found.
pssa_psg_g6_the_map_in_the_station,6,The Map in the Station 6,history/social studies,PSSA_PASSAGE_TEMPLATE_SKELETON,FAIL,BLOCKER,skeleton-i6ukhw,5,the <x> <topic> <topic> <topic> with a question that <topic> <topic> how could <topic> <topic> an <x> <topic> <x> their teacher asked them to avoid guesses and collect details that,Masked skeleton shared by 5 passages.
pssa_psg_g6_the_mural_plan,6,The Mural Plan 6,arts/culture,PSSA_PASSAGE_TEMPLATE_SKELETON,FAIL,BLOCKER,skeleton-slnbp4,5,the <x> <topic> <topic> <topic> with a question that <topic> <topic> how could a <topic> <topic> a <topic> <topic> from <topic> <topic> their teacher asked them to avoid guesses an,Masked skeleton shared by 5 passages.
pssa_psg_g7_creek_watchers,7,Creek Watchers 7,science/nature,PSSA_PASSAGE_TEMPLATE_SKELETON,FAIL,BLOCKER,skeleton-ufivrv,4,the <x> <topic> <topic> <topic> with a question that <topic> <topic> how could <topic> <topic> <topic> <topic> after a <topic> <topic> their teacher asked them to avoid guesses and,Masked skeleton shared by 4 passages.
pssa_psg_g7_the_map_in_the_station,7,The Map in the Station 7,history/social studies,PSSA_PASSAGE_TEMPLATE_SKELETON,FAIL,BLOCKER,skeleton-i6ukhw,5,the <x> <topic> <topic> <topic> with a question that <topic> <topic> how could <topic> <topic> an <x> <topic> <x> their teacher asked them to avoid guesses and collect details that,Masked skeleton shared by 5 passages.
pssa_psg_g7_a_cooler_lunch_line,7,A Cooler Lunch Line 7,school/community,PSSA_PASSAGE_TEMPLATE_SKELETON,FAIL,BLOCKER,skeleton-9g7oh7,4,the <x> <topic> <topic> <topic> with a question that <topic> <topic> how could <topic> <topic> a <topic> <topic> <topic> their teacher asked them to avoid guesses and collect detai,Masked skeleton shared by 4 passages.
pssa_psg_g7_the_mural_plan,7,The Mural Plan 7,arts/culture,PSSA_PASSAGE_TEMPLATE_SKELETON,FAIL,BLOCKER,skeleton-slnbp4,5,the <x> <topic> <topic> <topic> with a question that <topic> <topic> how could a <topic> <topic> a <topic> <topic> from <topic> <topic> their teacher asked them to avoid guesses an,Masked skeleton shared by 5 passages.
pssa_psg_g7_the_cart_that_would_not_turn,7,The Cart That Would Not Turn 7,everyday problem-solving,PSSA_PASSAGE_TEMPLATE_SKELETON,FAIL,BLOCKER,skeleton-zf3s6n,4,the <x> <topic> <topic> <topic> with a question that <topic> <topic> how could a <topic> <topic> a <topic> <topic> their teacher asked them to avoid guesses and collect details tha,Masked skeleton shared by 4 passages.
pssa_psg_g8_creek_watchers,8,Creek Watchers 8,science/nature,PSSA_PASSAGE_TEMPLATE_SKELETON,FAIL,BLOCKER,skeleton-ufivrv,4,the <x> <topic> <topic> <topic> with a question that <topic> <topic> how could <topic> <topic> <topic> <topic> after a <topic> <topic> their teacher asked them to avoid guesses and,Masked skeleton shared by 4 passages.
pssa_psg_g8_the_map_in_the_station,8,The Map in the Station 8,history/social studies,PSSA_PASSAGE_TEMPLATE_SKELETON,FAIL,BLOCKER,skeleton-i6ukhw,5,the <x> <topic> <topic> <topic> with a question that <topic> <topic> how could <topic> <topic> an <x> <topic> <x> their teacher asked them to avoid guesses and collect details that,Masked skeleton shared by 5 passages.
pssa_psg_g8_a_cooler_lunch_line,8,A Cooler Lunch Line 8,school/community,PSSA_PASSAGE_TEMPLATE_SKELETON,FAIL,BLOCKER,skeleton-9g7oh7,4,the <x> <topic> <topic> <topic> with a question that <topic> <topic> how could <topic> <topic> a <topic> <topic> <topic> their teacher asked them to avoid guesses and collect detai,Masked skeleton shared by 4 passages.
pssa_psg_g8_the_mural_plan,8,The Mural Plan 8,arts/culture,PSSA_PASSAGE_TEMPLATE_SKELETON,FAIL,BLOCKER,skeleton-slnbp4,5,the <x> <topic> <topic> <topic> with a question that <topic> <topic> how could a <topic> <topic> a <topic> <topic> from <topic> <topic> their teacher asked them to avoid guesses an,Masked skeleton shared by 5 passages.
pssa_psg_g8_the_cart_that_would_not_turn,8,The Cart That Would Not Turn 8,everyday problem-solving,PSSA_PASSAGE_TEMPLATE_SKELETON,FAIL,BLOCKER,skeleton-zf3s6n,4,the <x> <topic> <topic> <topic> with a question that <topic> <topic> how could a <topic> <topic> a <topic> <topic> their teacher asked them to avoid guesses and collect details tha,Masked skeleton shared by 4 passages.
