source,grade,lessonId,title,standardCode,skill,reviewStatus,generatedBy,aiStatus,approvedAt,rejectedAt,practiceSections,reviewCount,approvable,blockerCount
database.learningLesson,4,cmpdhrlfc00cqevu9gdjhv6if,Understanding Problem and Solution Text Structure,CC.1.2.4.E,Problem and Solution Text Structure,PENDING_REVIEW,PREBUILT_AI_LIBRARY,COMPLETED,,,6,1,,0
database.learningLesson,4,cmpdht2ut00cyevu96difvrzn,Mastering Dictionary and Thesaurus Skills,CC.1.2.4.F,Dictionary and Thesaurus Skills,PENDING_REVIEW,PREBUILT_AI_LIBRARY,COMPLETED,,,6,1,,0
database.learningLesson,4,cmpdhvyp400d8evu9dt50rod2,Mastering Homophones and Multiple-Meaning Words,CC.1.2.4.F,Homophones and Multiple-Meaning Words,PENDING_REVIEW,PREBUILT_AI_LIBRARY,COMPLETED,,,6,1,,0
database.learningLesson,4,cmpdhwrjk00dievu9tdtn7as2,Understanding Greek and Latin Roots,CC.1.2.4.F,Greek and Latin Roots,PENDING_REVIEW,PREBUILT_AI_LIBRARY,COMPLETED,,,6,1,,0
database.learningLesson,4,cmpdi049g00e0evu9i4lhqmdd,Understanding Argumentative Text Clues,CC.1.2.4.G,Argumentative Text Clues,PENDING_REVIEW,PREBUILT_AI_LIBRARY,COMPLETED,,,6,1,,0
database.learningLesson,4,cmpdhzp7s00dsevu91d5ngbrd,Exploring Themes in Stories,CC.1.3.4.A,Theme,PENDING_REVIEW,PREBUILT_AI_LIBRARY,COMPLETED,,,6,1,,0
database.learningLesson,4,cmpdi436p00edevu9qj8qbl4v,Exploring Character Comparisons,CC.1.3.4.C,Compare Characters,PENDING_REVIEW,PREBUILT_AI_LIBRARY,COMPLETED,,,6,1,,0
database.learningLesson,4,cmpdi5a0y00elevu98ni5vpa6,Understanding Plot Elements,CC.1.3.4.C,Plot Elements,PENDING_REVIEW,PREBUILT_AI_LIBRARY,COMPLETED,,,6,1,,0
database.learningLesson,4,cmpdi8kps00etevu9e5xap1kx,Understanding Point of View in Stories,CC.1.3.4.D,Point of View,PENDING_REVIEW,PREBUILT_AI_LIBRARY,COMPLETED,,,6,1,,0
database.learningLesson,4,cmpdibiyu00f1evu9w0ber6ec,Understanding Rhyme Schemes and Poetry Elements,CC.1.3.4.E,Rhyme Scheme and Poetry Elements,PENDING_REVIEW,PREBUILT_AI_LIBRARY,COMPLETED,,,6,1,,0
database.learningLesson,4,cmpdid0ed00fdevu9ztkt8ejr,Understanding Allusions in Texts,CC.1.3.4.F,Allusion Meaning,PENDING_REVIEW,PREBUILT_AI_LIBRARY,COMPLETED,,,6,1,,0
database.learningLesson,4,cmpdie6nd00fqevu9h7ooi2ft,Understanding Figurative Language and Connotation,CC.1.3.4.F,Connotation and Figurative Language,PENDING_REVIEW,PREBUILT_AI_LIBRARY,COMPLETED,,,6,1,,0
database.learningLesson,4,cmpdii6m500g2evu9v5z7faq3,Understanding Similes and Metaphors,CC.1.3.4.F,Similes and Metaphors,PENDING_REVIEW,PREBUILT_AI_LIBRARY,COMPLETED,,,6,1,,0
database.learningLesson,4,cmpdijwpx00gaevu9kg2tawq6,Exploring Sensory Details in Text,CC.1.3.4.F,Sensory Details,PENDING_REVIEW,PREBUILT_AI_LIBRARY,COMPLETED,,,6,1,,0
database.learningLesson,4,cmpdillv200gkevu9hbeud3qu,Mastering Story Summaries,CC.1.4.4.A,Summarizing Stories,PENDING_REVIEW,PREBUILT_AI_LIBRARY,COMPLETED,,,6,1,,0
database.learningLesson,4,cmpdio2v800h0evu9lu9ndp41,Using Transitions and Linking Words in Writing,CC.1.4.4.C,Transitions and Linking Words,PENDING_REVIEW,PREBUILT_AI_LIBRARY,COMPLETED,,,6,1,,0
database.learningLesson,4,cmpdio0lr00gsevu959kopr04,Understanding Formal and Informal Writing Styles,CC.1.4.4.F,Formal and Informal Style,PENDING_REVIEW,PREBUILT_AI_LIBRARY,COMPLETED,,,6,1,,0
database.learningLesson,4,cmpdiqi2w00hcevu9yw697jp4,Mastering Spelling with Affixes,CC.1.4.4.F,Spelling with Affixes,PENDING_REVIEW,PREBUILT_AI_LIBRARY,COMPLETED,,,6,1,,0
database.learningLesson,4,cmpdiqj9200hkevu9wac0r2fv,Mastering Pronoun Agreement and Shifts,CC.1.4.4.F,Pronoun Agreement and Shifts,PENDING_REVIEW,PREBUILT_AI_LIBRARY,COMPLETED,,,6,1,,0
database.learningLesson,4,cmpdiswsi00hwevu91ig9arf8,Building Strong Arguments with Reasons and Evidence,CC.1.4.4.G,Supporting Reasons,PENDING_REVIEW,PREBUILT_AI_LIBRARY,COMPLETED,,,6,1,,0
database.learningLesson,4,cmpditszl00i4evu9n5fh3bke,Distinguishing Facts from Opinions,CC.1.4.4.I,Facts and Opinions,PENDING_REVIEW,PREBUILT_AI_LIBRARY,COMPLETED,,,6,1,,0
database.learningLesson,4,cmpdix3ca00ieevu93foszdc7,Mastering Text-Dependent Analysis,CC.1.4.4.S,TDA Evidence and Explanation,PENDING_REVIEW,PREBUILT_AI_LIBRARY,COMPLETED,,,6,1,,0
