duplicateGroupId,ruleId,itemIds,count,gradeLevel,itemType,standardCode,normalizedStem,normalizedChoices,sourceType,severity
00722ec4b410,PSSA_DUPLICATE_ITEM_EXACT,40018|40042|40050,3,4,MCQ,CC.1.3.4.B,what can be concluded based on details in the last bell before the storm,a supported inference that combines text clues with what the reader knows | a guess that sounds possible but has no text evidence | a copied detail that does not explain what can be figured out | an answer based only on one word from the title,generated,BLOCKER
2aa15085c5f2,PSSA_DUPLICATE_ITEM_EXACT,40021|40045,2,4,DRAG_DROP,CC.1.3.4.C,a student is writing an informational report move each sentence into the table to show whether the style is formal or informal,to make recycled paper fibers are mixed with water to form pulp | it is kind of wild that old paper can turn into brand new sheets | the pulp is spread thinly and pressed until much of the water is removed | the whole process is really neat because the paper gets squished flat,generated,BLOCKER
6674fcaf015c,PSSA_DUPLICATE_ITEM_EXACT,40023|40047,2,4,HOT_TEXT,CC.1.3.4.E,read the paragraph select the sentence that should be revised to maintain a formal style,many communities create gardens that provide food and shelter for pollinators | butterflies and bees move pollen from one flower to another as they search for nectar | lots of people think those tiny bugs are super cool and fun to watch | planting native flowers can help pollinators survive in changing environments,generated,BLOCKER
023bc4b7a8b3,PSSA_DUPLICATE_ITEM_EXACT,40025|40029,2,4,MCQ,CC.1.2.4.B,what can be concluded based on details in two views of a community garden,a supported inference that combines text clues with what the reader knows | a guess that sounds possible but has no text evidence | a copied detail that does not explain what can be figured out | an answer based only on one word from the title,generated,BLOCKER
1af184dcbb5a,PSSA_DUPLICATE_ITEM_EXACT,40031|40035|40037,3,4,MCQ,CC.1.2.4.B,what can be concluded based on details in designing a water smart schoolyard,a supported inference that combines text clues with what the reader knows | a guess that sounds possible but has no text evidence | a copied detail that does not explain what can be figured out | an answer based only on one word from the title,generated,BLOCKER
e2ffc8980029,PSSA_DUPLICATE_ITEM_EXACT,40033|40039,2,4,MCQ,CC.1.2.4.D,which answer best explains vocabulary in designing a water smart schoolyard,the author develops the idea with relevant details from the passage | the author includes details that do not connect to one idea | the passage is mostly a list without a structure | the best answer can be found by using the title only,generated,BLOCKER
9673e36cb0e0,PSSA_DUPLICATE_ITEM_EXACT,40043|40051,2,4,MCQ,CC.1.3.4.C,how does the setting influence the character s actions in the last bell before the storm,the time or place creates conditions that affect what the character does | the setting prevents characters from making choices | the setting only lists unrelated facts | the setting is always less important than dialogue,generated,BLOCKER
5b4fd9a61b6b,PSSA_DUPLICATE_ITEM_EXACT,40044|40052,2,4,MCQ,CC.1.3.4.H,which event most directly leads to the resolution in the last bell before the storm,the character s choice that helps solve the central conflict | a detail that names the weather | a sentence that only describes clothing | a fact unrelated to the story problem,generated,BLOCKER
02041795162c,PSSA_DUPLICATE_ITEM_EXACT,50004|cmonfrv0g000ldpdkdkeaaqtd,2,5,CONVENTIONS,CC.1.4.5.F4,which revision fixes the sentence fragment,because the rain stopped | because the rain stopped we practiced outside | the rain because stopped | outside because,database|generated,BLOCKER
dad5b6a5df27,PSSA_DUPLICATE_ITEM_EXACT,50005|cmonfrv0g000mdpdkzbylxxl4,2,5,CONVENTIONS,CC.1.4.5.F5,which sentence keeps verb tense consistent,maya opened the book and reads | maya opens the book and read | maya opened the book and read the first page | maya opening the book and read,database|generated,BLOCKER
1c19b995a16e,PSSA_DUPLICATE_ITEM_EXACT,50007|cmonfrv0g000odpdkfv3mmo1k,2,5,CONVENTIONS,CC.1.4.5.F7,which sentence uses commas correctly,yes i finished the draft | yes i finished the draft | yes i finished the draft | yes i finished the draft,database|generated,BLOCKER
e75f284bdd4d,PSSA_DUPLICATE_ITEM_EXACT,50008|cmonfrv0g000pdpdk63679tu1,2,5,CONVENTIONS,CC.1.4.5.F8,which sentence uses an apostrophe correctly,the teachers desk was clean | the teacher s desk was clean | the teachers desk was clean | the teacher desk s was clean,database|generated,BLOCKER
c76bb6d68214,PSSA_DUPLICATE_ITEM_EXACT,50011|50015,2,5,MCQ,CC.1.2.5.B,which evidence from the passage best supports the inference or generalization about how wetlands protect a watershed,a supported inference that combines text clues with what the reader knows | a guess that sounds possible but has no text evidence | a copied detail that does not explain what can be figured out | an answer based only on one word from the title,generated,BLOCKER
a14b4eb7aeda,PSSA_DUPLICATE_ITEM_EXACT,50017|50042,2,5,MCQ,CC.1.3.5.A,which answer best explains theme in the last bell before the storm,the author develops the idea with relevant details from the passage | the author includes details that do not connect to one idea | the passage is mostly a list without a structure | the best answer can be found by using the title only,generated,BLOCKER
463584642726,PSSA_DUPLICATE_ITEM_EXACT,50018|50043|50051,3,5,MCQ,CC.1.3.5.B,which evidence from the passage best supports the inference or generalization about the last bell before the storm,a supported inference that combines text clues with what the reader knows | a guess that sounds possible but has no text evidence | a copied detail that does not explain what can be figured out | an answer based only on one word from the title,generated,BLOCKER
a66d1f7a7033,PSSA_DUPLICATE_ITEM_EXACT,50019|50044|50052,3,5,MCQ,CC.1.3.5.C,what mood does the setting help create in the last bell before the storm,a mood supported by details about the place time or environment | a mood that ignores all story details | a mood based only on the page number | a mood unrelated to the passage,generated,BLOCKER
b575349c5f5c,PSSA_DUPLICATE_ITEM_EXACT,50020|50045|50053,3,5,MCQ,CC.1.3.5.H,how does the character s response to the problem affect the plot of the last bell before the storm,the response leads to the next important event and moves the story toward a resolution | the response stops all conflict immediately | the response only describes the setting | the response proves the passage is informational,generated,BLOCKER
004601b6cceb,PSSA_DUPLICATE_ITEM_EXACT,50021|50046,2,5,DRAG_DROP,CC.1.3.5.C,read the descriptions of sources used in the classroom move the two correctly written sources into the table,a newspaper article titled art in the 1920s | a book titled the habitat of turtles | a book titled how to fix a bicycle | a newspaper article titled amazing leonardo da vinci,generated,BLOCKER
3dedd00dfc17,PSSA_DUPLICATE_ITEM_EXACT,50022|50047,2,5,MCQ,CC.1.3.5.F / CC.1.2.5.F,read the sentences from the passage which idea does the figurative phrase suggest,a chance to begin again in a better way | a newly washed object | a confusing mistake | a problem that cannot be solved,generated,BLOCKER
7d8bfac9dfe4,PSSA_DUPLICATE_ITEM_EXACT,50023|50048,2,5,HOT_TEXT,CC.1.3.5.E,read the sentence select the underlined word that is spelled incorrectly,she found the puppy hiding underneath the porch | she found the puppy hiding beside an enormus piece of furniture | she found the puppy hiding near the library | she found the puppy hiding behind the chair,generated,BLOCKER
c5ca39116d7f,PSSA_DUPLICATE_ITEM_EXACT,50025|50029,2,5,MCQ,CC.1.2.5.B,which evidence from the passage best supports the inference or generalization about two views of a community garden,a supported inference that combines text clues with what the reader knows | a guess that sounds possible but has no text evidence | a copied detail that does not explain what can be figured out | an answer based only on one word from the title,generated,BLOCKER
2b5ef0abeff3,PSSA_DUPLICATE_ITEM_EXACT,50032|50036|50038,3,5,MCQ,CC.1.2.5.B,how does the table or chart contribute to the reader s understanding of designing a water smart schoolyard,a supported inference that combines text clues with what the reader knows | a guess that sounds possible but has no text evidence | a copied detail that does not explain what can be figured out | an answer based only on one word from the title,generated,BLOCKER
172e6387212d,PSSA_DUPLICATE_ITEM_EXACT,50034|50040,2,5,MCQ,CC.1.2.5.D,based on the context of designing a water smart schoolyard what does the word or phrase most likely mean,the author develops the idea with relevant details from the passage | the author includes details that do not connect to one idea | the passage is mostly a list without a structure | the best answer can be found by using the title only,generated,BLOCKER
727a8eda28bb,PSSA_DUPLICATE_ITEM_EXACT,60001|cmowe8929000w5ish1ds0xyky|cmoweqxg4000w6zhz2g02rhup|cmowg7f4b001apspn1o2rk8pz|cmowzttnj0002twqwjwblspz0|cmox0dd9w0002vlf184kwu85t|cmox0o8mx000274o54qi7nzqc|cmox1en8o00027pv3dg21y2l1|cmox1wex0000211ju9syvd5eu|cmp30b1p60004rzygec6ps7b8|cmp30b8ng001urzygc5m6ktk5|cmp39561i0002nrdznqg4pcww|cmp39lq5m000211ze3y9x8la5|cmp3dtj970002chf9pr81zh4o|cmp5noc290002149wj4xxrhkc|cmp61ap8d0002r85q7hslrui5|cmp62uiy00002ajtyvb1i9x19|cmp7kxbgw0005nu4us7rob0d5,18,6,CONVENTIONS,CC.1.4.6.F1,read the paragraph which revision would most improve the paragraph,add a sentence that explains how the final detail connects to the main idea | delete all examples so the paragraph is shorter | change every sentence to a question | move the last sentence before the topic sentence,database|generated,BLOCKER
fc3435d25da2,PSSA_DUPLICATE_ITEM_EXACT,60002|cmox1en8o00037pv3pnwbw479|cmox1wex0000311jukrpdcdwv|cmp30b1p60005rzygbozh0lvn|cmp30b8ng001vrzygyx4u3oxl|cmp39561i0003nrdz3u20rr3w|cmp39lq5m000311zetvu3zawd|cmp3dtj970003chf9mz1ehmo3|cmp5noc290003149wu4hw6rz1|cmp61ap8d0003r85q68zli25g|cmp62uiy00003ajtyvgckyjw9|cmp7kxbgw0006nu4uhwfiuuwr,12,6,DRAG_DROP,CC.1.4.6.F2,read the paragraph select the word from each drop down list that best completes each sentence,first drop down | second drop down,database|generated,BLOCKER
5636946ad643,PSSA_DUPLICATE_ITEM_EXACT,60003|cmox0o8mx000474o5ro3wao4g|cmox1en8o00047pv3gk75b57j|cmox1wex0000411junmm5iwtd|cmp30b1p60006rzyg373xb1cw|cmp30b8ng001wrzygg466khqy|cmp39561i0004nrdz4347vbdj|cmp39lq5m000411ze04x7hivs|cmp3dtj970004chf93trj8uv0|cmp5noc290004149wxz3k1i0z|cmp61ap8d0004r85qib85fes7|cmp62uiy10004ajtys6rtmg64|cmp7kxbgw0007nu4ucj0oxbxj,13,6,HOT_TEXT,CC.1.4.6.F3,read the paragraph select the sentence that contains an inappropriate shift in pronoun person,when students revise an essay they should check whether each detail supports the claim | a writer should reread the draft because you may notice missing evidence | the class discussed its ideas before writing the final paragraph | readers can follow an essay when its organization is clear,database|generated,BLOCKER
38b1d6074df2,PSSA_DUPLICATE_ITEM_EXACT,60004|cmowe8929000z5ishl4ac3hmu|cmoweqxg4000z6zhz116euqv5|cmowg7f4b001dpspnqzr1ys5g|cmowzttnj0005twqw39qphacy|cmox0dd9w0005vlf1i22ge0is|cmox0o8mx000574o5qc2ct87u|cmox1en8o00057pv3zwkdo7jr|cmox1wex0000511ju2l4odn6b|cmp30b1p60007rzyg3dp3m4hh|cmp30b8ng001xrzyg4oip43si|cmp39561i0005nrdz6qzzc44y|cmp39lq5m000511zev26ehbqy|cmp3dtj970005chf9isst4d1m|cmp5noc290005149wfxe3t442|cmp61ap8d0005r85qvm6z7qe5|cmp62uiy10005ajtypxo06lk2|cmp7kxbgw0008nu4ut26rq08a,18,6,CONVENTIONS,CC.1.4.6.F4,read the paragraph which sentence has a vague pronoun,maya gave lena the notes after she finished the summary | maya finished the summary before lunch | lena read the notes carefully | the summary included evidence from the passage,database|generated,BLOCKER
dc9f9263c593,PSSA_DUPLICATE_ITEM_EXACT,60005|cmowe892900105ish0xo4od0w|cmoweqxg400106zhzmtdgoo0j|cmowg7f4b001epspnidhggltr|cmowzttnj0006twqwcd2rehe3|cmox0dd9w0006vlf1xlhcivku|cmox0o8mx000674o54w5x6x37|cmox1en8o00067pv3rhmnk0oc|cmox1wex0000611juujvos1ym|cmp30b1p60008rzyg6pcrjz79|cmp30b8ng001yrzygwq55z9qu|cmp39561m0006nrdzfqo0kdrc|cmp39lq5m000611zeoey1lemt|cmp3dtj970006chf9kpvwn7eh|cmp5noc290006149wo1zbhivd|cmp61ap8d0006r85qq6acg3vy|cmp62uiy10006ajty717k1d0s|cmp7kxbgw0009nu4uple7y192,18,6,CONVENTIONS,CC.1.4.6.F5,which sentence keeps verb tense consistent,maya opened the book and reads | maya opens the book and read | maya opened the book and read the first page | maya opening the book and read,database|generated,BLOCKER
99edaa1f0170,PSSA_DUPLICATE_ITEM_EXACT,60006|cmox1en8o00077pv3tld3rnby|cmox1wex0000711juuhuayl81|cmp30b1p60009rzygkbpun82v|cmp30b8ng001zrzyghjx9sakd|cmp39561m0007nrdzax7q5w4n|cmp39lq5m000711zeuq7ivdcf|cmp3dtj970007chf927ln4jr5|cmp5noc290007149w98hdwehn|cmp61ap8d0007r85q2nvjbs2f|cmp62uiy10007ajtyui75p589|cmp7kxbgw000anu4u06rcanvd,12,6,MULTI_SELECT,CC.1.4.6.F6,a student is writing a report about the papermaking process complete the table by putting a check mark next to each sentence to show whether the style of the sentence is formal or informal,it is kind of wild that a thin weak piece of paper comes from really really big strong trees | to be made into paper wood must be changed into a liquid substance called pulp | pulp is created by grinding wood chips or using chemicals to break wood into tiny pieces | when pulp is spread out super thin all the water gets kind of pressed out until you ve got paper,database|generated,BLOCKER
ef727d55a764,PSSA_DUPLICATE_ITEM_EXACT,60007|cmowe892900125ish6wuya6kk|cmoweqxg400126zhzace4tgyg|cmowg7f4b001gpspnzf3y3w5s|cmowzttnj0008twqw9m23j8oy|cmox0dd9w0008vlf1er2g6nv9|cmox0o8mx000874o5qhg4pwps|cmox1en8o00087pv3wd10qufx|cmox1wex0000811juefqedh1p|cmp30b1p6000arzyghsqxs8nl|cmp30b8ng0020rzygcusqcf3x|cmp39561m0008nrdzzbeyyx8y|cmp39lq5m000811zed4chpuso|cmp3dtj970008chf92u509rk8|cmp5noc290008149wu7ls3h2a|cmp61ap8d0008r85qagvkmywa|cmp62uiy10008ajtylfobje8w|cmp7kxbgw000bnu4u8el2nf1q,18,6,CONVENTIONS,CC.1.4.6.F7,which sentence uses commas correctly,yes i finished the draft | yes i finished the draft | yes i finished the draft | yes i finished the draft,database|generated,BLOCKER
5e86c33e4d56,PSSA_DUPLICATE_ITEM_EXACT,60008|cmowe892900135ishq34mw1zt|cmoweqxg400136zhzmjosf1za|cmowg7f4b001hpspn7g1r9sgw|cmowzttnj0009twqwxiz0xo9q|cmox0dd9w0009vlf17807uo80|cmox0o8mx000974o5szp0xtsc|cmox1en8o00097pv3ujz0ycy2|cmox1wex0000911ju1nv86uss|cmp30b1p6000brzygdr4eyq1m|cmp30b8ng0021rzygto6ak376|cmp39561m0009nrdz6vu3x8bs|cmp39lq5m000911zehjxdb6kk|cmp3dtj970009chf913sdouhn|cmp5noc290009149wpbbiz1hf|cmp61ap8d0009r85qj47rgoeh|cmp62uiy10009ajtywt4gyysf|cmp7kxbgw000cnu4u921glbde,18,6,CONVENTIONS,CC.1.4.6.F8,which sentence uses an apostrophe correctly,the teachers desk was clean | the teacher s desk was clean | the teachers desk was clean | the teacher desk s was clean,database|generated,BLOCKER
bcca7be67f9c,PSSA_DUPLICATE_ITEM_EXACT,60009|cmox1en8o000a7pv3e8ppm6fa|cmox1wex0000a11juh7etlu17|cmp30b1p6000crzygca4wvqji|cmp30b8ng0022rzygwbu3cujb|cmp39561m000anrdzc8yuwl6z|cmp39lq5m000a11zeh40ic5eh|cmp3dtj98000achf9xnl4gy06|cmp5noc29000a149wkwqmsy0n|cmp61ap8d000ar85qpo8jbmix|cmp62uiy1000aajty06z8ppe5|cmp7kxbgw000dnu4ugb8z4uwf,12,6,DRAG_DROP,CC.1.4.6.F9,read the first sentence of a newspaper article move a sentence from below onto the blank line that best fits the style of the article,blank line,database|generated,BLOCKER
4e8da8c07ea6,PSSA_DUPLICATE_ITEM_EXACT,60010|cmowg7f4a000wpspnu34jub0a|cmowzttnj000btwqwmrww2upy|cmox0dd9w000bvlf188h4rmt5|cmox0o8mx000b74o5zmu315bc|cmox1en8o000b7pv3gwoujq30|cmox1wex0000b11jumi740st1|cmp30b1p6000drzygkvdk9l5v|cmp30b8ng0023rzyghrjhfw55|cmp39561m000bnrdzyhtuvvuf|cmp39lq5m000b11zedaliqt5r|cmp3dtj98000bchf9rhuwaq3x|cmp5noc29000b149w0z5hjz3e|cmp61ap8d000br85qhh4adgsn|cmp62uiy1000bajtyo5raan7g|cmp7kxbgw000enu4udxuwk8b3,16,6,MCQ,CC.1.2.6.A,which description provides the best objective summary of how wetlands protect a watershed,the author develops the idea with relevant details from the passage | the author includes details that do not connect to one idea | the passage is mostly a list without a structure | the best answer can be found by using the title only,database|generated,BLOCKER
21e1597948e4,PSSA_DUPLICATE_ITEM_EXACT,60011|60015|60017|cmowe892700035ishpo5uilo8|cmowe8928000q5ishzeikab1d|cmoweqxg200036zhz7mvnetzx|cmoweqxg3000q6zhzrf0zlh9q|cmowg7f490003pspn7c358ife|cmowg7f4a000qpspn0r5oar52|cmowzttnj000ctwqwfnd5t9sc|cmowzttnk000gtwqwligburgd|cmowzttnk000itwqwrnhagsy2|cmox0dd9w000cvlf1qultgt30|cmox0dd9x000gvlf1vd4ozl58|cmox0dd9x000ivlf1j1nkcst0|cmox0o8mx000c74o5pmilnkmn|cmox0o8my000g74o5wty3bgid|cmox0o8my000i74o5z2fu4wjt|cmox1en8o000c7pv3cy3qq5nx|cmox1en8o000g7pv370r058bd|cmox1en8o000i7pv3fflr5mji|cmox1wex0000c11juwiq2bl4m|cmox1wex0000g11jujyu1g0jr|cmox1wex1000i11jut5ygci0m|cmp30b1p7000erzygbmaf616g|cmp30b1p7000irzygtdbgh8z5|cmp30b1p7000krzygu3shu3xk|cmp30b8ng0024rzygmjfad1dt|cmp30b8ng0028rzyg0pmy4ssb|cmp30b8nh002arzygl1x0p2q2|cmp39561m000cnrdzymhcitak|cmp39561n000gnrdztqy6ropo|cmp39561n000inrdz2955qrp0|cmp39lq5m000c11zek8t1ynky|cmp39lq5n000g11zeulbxxwuy|cmp39lq5n000i11ze7z88molg|cmp3dtj98000cchf9fjvnebyj|cmp3dtj98000gchf94ksreaa9|cmp3dtj99000ichf9r1dc4ywf|cmp5noc29000c149wr9u96wil|cmp5noc2a000g149wo26ah6tn|cmp5noc2a000i149wjrwxh2ks|cmp61ap8d000cr85qulhhypa0|cmp61ap8e000gr85qukbjoso6|cmp61ap8e000ir85qacyqv19h|cmp62uiy1000cajtyy7swm7ua|cmp62uiy2000gajtyi516zg6u|cmp62uiy2000iajty2556bq7s|cmp7kxbgw000fnu4ulseuaync|cmp7kxbgw000jnu4u2hhzt1u9|cmp7kxbgx000lnu4ujd2yxeb6,51,6,MCQ,CC.1.2.6.B,which evidence from the passage best supports the inference about how the character changes in how wetlands protect a watershed,a detail that requires readers to connect clues and support an inference | a detail that is obvious but unsupported by other clues | a detail that repeats the title without analysis | a detail that does not connect to the conclusion,database|generated,BLOCKER
10297acbfd59,PSSA_DUPLICATE_ITEM_EXACT,60012|cmowzttnj000dtwqw0wiyiex2|cmox0dd9x000dvlf1qqtl9tyv|cmox0o8my000d74o5v3byu4on|cmox1en8o000d7pv3r1n8jzbc|cmox1wex0000d11jutaii6nr2|cmp30b1p7000frzygszwq7b00|cmp30b8ng0025rzygpx8qoq6i|cmp39561n000dnrdzy8j92h5l|cmp39lq5m000d11zeru54qw9s|cmp3dtj98000dchf9pks2zdkh|cmp5noc29000d149wfio2gu3w|cmp61ap8e000dr85qvvl94av0|cmp62uiy1000dajtyyss1d3fl|cmp7kxbgw000gnu4ut4d3ma0s,15,6,EBSR,CC.1.2.6.C,how does the character s impression or understanding change in how wetlands protect a watershed,the passage mainly lists unrelated facts | the author develops an idea through connected evidence | the passage avoids explaining causes | the title is the only useful clue,database|generated,BLOCKER
cd583dc92e03,PSSA_DUPLICATE_ITEM_EXACT,60013|cmowg7f4a000xpspnw6qswnii|cmowzttnj000etwqwz1guzph9|cmox0dd9x000evlf1akje3pnr|cmox0o8my000e74o55i1inxus|cmox1en8o000e7pv3th37xcdk|cmox1wex0000e11junbencktr|cmp30b1p7000grzyg3fre69ky|cmp30b8ng0026rzygp1pb3dt0|cmp39561n000enrdzn6kiq5uu|cmp39lq5m000e11zecqwgol0d|cmp3dtj98000echf9hnynw71m|cmp5noc2a000e149wjxta7jax|cmp61ap8e000er85q1q70659k|cmp62uiy1000eajty7x1m4krh|cmp7kxbgw000hnu4uyeh0psma,16,6,MCQ,CC.1.2.6.D,based on the passage what does the word reveal about the character or idea in how wetlands protect a watershed,the author develops the idea with relevant details from the passage | the author includes details that do not connect to one idea | the passage is mostly a list without a structure | the best answer can be found by using the title only,database|generated,BLOCKER
c09ecf9ecf8e,PSSA_DUPLICATE_ITEM_EXACT,60014|cmox0dd9x000fvlf15y7h3luu|cmox0o8my000f74o55q5dwt7t|cmox1en8o000f7pv3wbxotou1|cmox1wex0000f11juktg3scie|cmp30b1p7000hrzyguxal6rj2|cmp30b8ng0027rzygtloqyoo4|cmp39561n000fnrdzewttxxq5|cmp39lq5m000f11zevtpmwqpe|cmp3dtj98000fchf9kt9rrd5e|cmp5noc2a000f149wdp7rj90x|cmp61ap8e000fr85qcluryg28|cmp62uiy1000fajty7s56ft12|cmp7kxbgw000inu4upsadw7qw,14,6,DRAG_DROP,CC.1.3.6.G,use how wetlands protect a watershed match each statement to whether it is supported by the passage,the text explains a problem and shows why it matters | the text gives evidence that helps readers understand the central idea | the text says the problem is solved by ignoring the evidence | the text presents details in a way that helps readers compare ideas,database|generated,BLOCKER
04adb165921b,PSSA_DUPLICATE_ITEM_EXACT,60016|cmowzttnk000htwqw7kh0azx5|cmox0dd9x000hvlf1u9c0qxq3|cmox0o8my000h74o56y90tk4q|cmox1en8o000h7pv3k2f2llxk|cmox1wex0000h11ju2vlwbl79|cmp30b1p7000jrzyg123sogb1|cmp30b8nh0029rzyg2knjj6i0|cmp39561n000hnrdzsyuigw0p|cmp39lq5n000h11ze3tzr5hq1|cmp3dtj98000hchf9sj9x7fit|cmp5noc2a000h149wgi1bown5|cmp61ap8e000hr85qcxngxuj5|cmp62uiy2000hajtywe0gaw48|cmp7kxbgx000knu4u85xyhwnp,15,6,HOT_TEXT,CC.1.2.6.A,read the paragraph select the sentence that should be revised to maintain the style of the paragraph,in many areas around the world highways pass directly through the habitats of many animals | crossing the roads got really really hard for some animals | as a result people have designed and built special bridges and tunnels just for wildlife | these new wildlife crossings allow animals to move over or under the highway safely,database|generated,BLOCKER
75f098cbfe4d,PSSA_DUPLICATE_ITEM_EXACT,60018|60043|cmowg7f4a0015pspnz90g4k1p|cmowzttnk000jtwqwtgeo73xo|cmowzttnl0018twqw2szbu5hv|cmox0dd9x000jvlf1lldzt8ak|cmox0dd9z0018vlf1ij7l9x7i|cmox0o8my000j74o5gmxpskxd|cmox0o8mz001874o5ip4iy789|cmox1en8o000j7pv3p2f95u5a|cmox1en8p00187pv38xjw2l1z|cmox1wex1000j11ju9e08xpwu|cmox1wex2001811juhep6db5u|cmp30b1p7000lrzyg4ca62o8u|cmp30b1p9001arzyghms1mkz9|cmp30b8nh002brzygtx734n27|cmp30b8nj0030rzyg5h86z0we|cmp39561n000jnrdzm2ta3fwn|cmp39561p0018nrdzsktpv3bb|cmp39lq5n000j11zevtvl2nsm|cmp39lq5p001811ze96m1ctji|cmp3dtj99000jchf9yli6x09a|cmp3dtj9b0018chf9davognpq|cmp5noc2a000j149wqnil8tvh|cmp5noc2j0018149wy00tqm13|cmp61ap8e000jr85qfqvylebl|cmp61ap8h0018r85qkiplv9qd|cmp62uiy2000jajtyucubjh11|cmp62uiy50018ajty6kjduxq9|cmp7kxbgx000mnu4uhqkdq7bg|cmp7kxbgy001bnu4u9jqc9hof,31,6,MCQ,CC.1.3.6.A,which description provides the best objective summary of the last bell before the storm,the author develops the idea with relevant details from the passage | the author includes details that do not connect to one idea | the passage is mostly a list without a structure | the best answer can be found by using the title only,database|generated,BLOCKER
